,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
9234.000,24560159.000,0.000,0.000,1.000,1.143,0.189,0.514,2.500,0.472
9235.000,24560160.000,0.357,0.000,0.643,0.889,0.311,0.556,1.348,0.444
9236.000,24560161.000,0.286,0.000,0.643,1.000,0.304,0.489,2.750,0.500
9237.000,24560162.000,0.000,0.000,0.917,1.091,0.364,0.402,2.100,0.573
9238.000,24560163.000,0.187,0.000,0.812,1.000,0.271,0.557,1.483,0.453
9239.000,24560164.000,0.000,0.000,1.143,1.000,0.318,0.386,1.875,0.614
9240.000,24560165.000,0.000,0.375,0.889,0.625,0.321,0.269,3.333,0.721
9241.000,24560166.000,0.222,0.000,0.889,1.000,0.400,0.375,2.077,0.617
9242.000,24560167.000,0.286,0.000,0.571,1.250,0.226,0.330,1.150,0.670
9243.000,24560168.000,0.000,0.000,1.000,1.000,0.095,0.244,4.750,0.756
9244.000,24560169.000,NA,NA,NA,NA,NA,NA,NA,NA
9245.000,24560170.000,0.154,0.000,0.846,1.000,0.481,0.325,1.667,0.675
9246.000,24560171.000,0.000,0.000,1.333,1.000,0.176,0.207,1.750,0.793
9247.000,24560172.000,0.000,0.000,0.952,1.050,0.512,0.350,1.053,0.650
9248.000,24560173.000,0.000,0.000,1.143,0.875,0.389,0.247,5.500,0.740
9249.000,24560174.000,0.000,0.000,1.100,0.909,0.204,0.437,3.545,0.554
9250.000,24560175.000,0.200,0.000,0.800,0.750,0.270,0.398,1.867,0.591
9251.000,24560176.000,0.000,0.000,0.917,1.000,0.286,0.433,2.727,0.546
9252.000,24560177.000,0.200,0.000,0.900,0.889,0.222,0.484,1.214,0.505
9253.000,24560178.000,0.000,0.000,1.000,0.857,0.149,0.627,2.105,0.387
9254.000,24560179.000,0.000,0.000,0.917,1.000,0.231,0.591,1.379,0.420
9255.000,24560180.000,0.000,0.000,1.125,0.889,0.308,0.433,1.462,0.567
9256.000,24560181.000,0.187,0.000,0.812,1.000,0.615,0.578,1.833,0.400
9257.000,24560182.000,0.000,0.143,1.000,0.857,0.275,0.537,1.385,0.474
9258.000,24560183.000,0.000,0.000,1.000,1.000,0.176,0.630,2.733,0.383
