,geoUID,r_external_5yr,r_inter_5yr,r_internal_5yr,r_intra_5yr,r_migrants_5yr,r_movers_5yr,r_nonMigrants_5yr,r_nonMovers_5yr
29934.000,35240639.000,0.000,0.000,1.034,0.967,0.630,0.338,0.810,0.669
29935.000,35240640.000,0.000,0.000,1.000,1.045,0.917,0.296,0.143,0.704
29936.000,35240641.000,0.000,0.000,0.955,1.048,0.687,0.340,0.818,0.670
29937.000,35240642.000,0.300,0.000,0.700,0.857,0.435,0.240,0.750,0.771
29938.000,35240643.000,0.000,0.115,1.000,0.923,0.605,0.347,0.895,0.653
29939.000,35240644.000,0.231,0.000,0.769,1.000,0.382,0.306,3.000,0.685
29940.000,35240645.000,0.000,0.000,1.125,0.889,0.533,0.179,0.750,0.810
29941.000,35240647.000,0.118,0.000,0.941,0.875,0.586,0.244,1.500,0.756
29942.000,35240648.000,0.133,0.000,0.867,1.000,0.306,0.358,3.400,0.642
29943.000,35240649.000,0.000,0.000,0.913,1.000,0.639,0.293,3.500,0.707
29944.000,35240650.000,0.100,0.000,0.900,1.000,0.377,0.323,1.833,0.677
29945.000,35240651.000,0.000,0.000,1.000,1.000,0.353,0.183,2.500,0.828
29946.000,35240654.000,0.000,0.500,1.000,0.333,0.231,0.239,4.000,0.771
29947.000,35240655.000,0.121,0.233,0.909,0.767,0.493,0.270,1.941,0.734
29948.000,35240656.000,0.000,0.556,0.900,0.556,0.526,0.271,2.250,0.743
29949.000,35240659.000,0.219,0.250,0.750,0.792,0.508,0.387,1.722,0.613
29950.000,35240660.000,0.120,0.087,0.920,0.826,0.543,0.434,1.538,0.575
29951.000,35240661.000,0.000,0.000,1.000,1.000,0.158,0.181,2.143,0.819
29952.000,35240662.000,0.129,0.148,0.871,0.864,0.571,0.521,1.070,0.479
29953.000,35240663.000,0.000,0.200,0.937,0.867,0.421,0.362,1.294,0.648
29954.000,35240664.000,0.382,0.333,0.618,0.667,0.723,0.395,0.722,0.605
29955.000,35240665.000,0.222,0.571,0.778,0.429,0.450,0.206,1.222,0.784
29956.000,35240666.000,0.098,0.043,0.902,0.957,0.607,0.500,1.650,0.494
29957.000,35240667.000,0.080,0.080,1.000,0.920,0.595,0.311,1.417,0.689
29958.000,35240668.000,0.065,0.000,0.935,1.000,0.646,0.533,0.944,0.467
29959.000,35240669.000,0.000,0.000,1.000,0.973,0.755,0.265,0.800,0.741
29960.000,35240670.000,0.212,0.000,0.788,1.000,0.559,0.444,1.857,0.556
29961.000,35240671.000,0.500,0.000,0.500,1.000,0.714,0.246,0.700,0.763
29962.000,35240672.000,0.000,0.071,0.966,0.964,0.630,0.266,3.200,0.740
29963.000,35240673.000,0.179,0.000,0.786,1.000,0.583,0.623,2.625,0.377
29964.000,35240674.000,0.115,0.167,0.923,0.792,0.500,0.331,2.778,0.669
29965.000,35240675.000,0.184,0.125,0.816,0.900,0.766,0.264,0.789,0.736
29966.000,35240676.000,0.255,0.000,0.745,0.976,0.663,0.459,1.167,0.547
29967.000,35240677.000,0.636,0.000,0.273,1.000,0.647,0.187,0.714,0.813
29968.000,35240678.000,0.125,0.057,0.875,0.957,0.606,0.471,1.262,0.529
29969.000,35240679.000,0.333,0.000,0.667,0.937,0.558,0.321,1.000,0.679
29970.000,35240680.000,0.165,0.056,0.835,0.944,0.612,0.662,1.128,0.338
29971.000,35240681.000,0.300,0.107,0.700,0.893,0.667,0.513,1.312,0.487
29972.000,35240682.000,0.143,0.000,0.857,0.944,0.368,0.463,3.000,0.537
29973.000,35240683.000,0.000,0.300,1.000,0.700,0.417,0.179,1.167,0.821
29974.000,35240684.000,0.057,0.059,0.971,0.971,0.522,0.583,1.455,0.417
29975.000,35240685.000,0.132,0.043,0.868,0.978,0.570,0.403,1.026,0.597
29976.000,35240686.000,0.071,0.000,0.964,0.963,0.667,0.179,0.882,0.817
29977.000,35240687.000,0.428,0.100,0.572,0.900,0.630,0.467,1.286,0.532
29978.000,35240688.000,0.649,0.474,0.333,0.526,0.606,0.531,1.682,0.475
29979.000,35240689.000,0.526,0.000,0.447,1.059,0.731,0.377,0.700,0.616
29980.000,35240691.000,0.333,0.000,0.641,1.040,0.696,0.371,1.133,0.629
29981.000,35240695.000,0.800,0.000,0.160,1.250,0.424,0.496,2.125,0.504
29982.000,35240696.000,0.000,0.000,0.933,1.000,0.517,0.227,3.500,0.773
29983.000,35240697.000,0.130,0.122,0.891,0.878,0.697,0.384,0.870,0.628
29984.000,35240698.000,0.265,0.360,0.735,0.640,0.500,0.311,2.000,0.689
29985.000,35240699.000,0.400,0.088,0.618,0.882,0.671,0.439,0.730,0.556
29986.000,35240700.000,0.483,0.133,0.517,0.867,0.806,0.353,0.467,0.647
29987.000,35240701.000,0.600,0.000,0.400,1.000,0.833,0.164,1.000,0.827
29988.000,35240705.000,0.594,0.000,0.375,0.917,0.821,0.293,0.412,0.707
29989.000,35240706.000,0.414,0.000,0.586,0.941,0.707,0.339,1.300,0.653
29990.000,35240707.000,0.444,0.150,0.556,0.850,0.632,0.361,0.741,0.646
29991.000,35240708.000,0.800,0.000,0.200,1.000,0.676,0.243,1.091,0.757
29992.000,35240709.000,0.000,0.000,0.800,0.875,0.500,0.148,2.000,0.844
29993.000,35240710.000,0.130,0.250,0.870,0.750,0.590,0.345,0.889,0.646
29994.000,35240711.000,0.308,0.000,0.615,0.875,0.406,0.260,0.692,0.748
29995.000,35240712.000,0.429,0.222,0.643,0.889,0.737,0.196,0.667,0.794
29996.000,35240713.000,0.000,0.000,0.955,1.000,0.458,0.308,2.273,0.699
29997.000,35240714.000,0.321,0.000,0.714,1.000,0.757,0.343,1.143,0.648
29998.000,35240715.000,0.537,0.158,0.463,0.895,0.594,0.365,1.174,0.635
29999.000,35240716.000,0.214,0.000,0.786,0.909,0.609,0.181,0.750,0.819
30000.000,35240720.000,0.183,0.053,0.817,0.949,0.649,0.918,1.056,0.082
30001.000,35240724.000,0.222,0.000,0.778,1.000,0.600,0.227,0.857,0.773
30002.000,35240728.000,0.000,0.000,1.111,0.900,0.750,0.167,0.600,0.833
30003.000,35240729.000,0.263,0.154,0.684,1.000,0.679,0.275,0.526,0.716
30004.000,35240730.000,0.000,0.000,0.963,1.038,0.871,0.316,2.500,0.673
30005.000,35240731.000,0.000,0.000,1.111,0.800,0.450,0.278,1.571,0.722
30006.000,35240732.000,0.133,0.000,0.867,0.923,0.882,0.189,0.167,0.822
30007.000,35240736.000,0.000,0.154,0.929,1.000,0.500,0.255,1.625,0.745
30008.000,35240737.000,0.389,0.000,0.611,1.000,0.947,0.235,0.200,0.778
30009.000,35240738.000,0.000,0.000,1.000,1.000,0.310,0.236,1.667,0.756
30010.000,35240739.000,0.286,0.000,1.000,1.000,0.389,0.286,1.667,0.714
30011.000,35240740.000,0.094,0.000,0.906,1.000,0.610,0.489,1.467,0.509
30012.000,35240741.000,0.000,0.000,1.000,1.000,0.368,0.192,4.000,0.808
30013.000,35240742.000,0.000,0.000,0.750,1.167,0.667,0.125,2.000,0.865
30014.000,35240744.000,0.000,0.000,0.978,1.000,0.643,0.483,3.125,0.510
30015.000,35240745.000,0.333,0.000,0.667,0.929,0.808,0.211,0.455,0.797
30016.000,35240746.000,0.000,0.000,1.000,1.000,0.607,0.350,1.667,0.662
30017.000,35240752.000,0.000,0.000,1.071,0.933,0.636,0.237,1.333,0.753
30018.000,35240753.000,0.000,0.000,1.083,1.000,0.857,0.219,0.667,0.781
30019.000,35240754.000,0.095,0.000,0.952,1.000,0.618,0.333,1.500,0.667
30020.000,35240755.000,0.267,0.000,0.733,1.000,0.652,0.211,1.600,0.789
30021.000,35240756.000,0.350,0.167,0.600,0.917,0.465,0.316,3.833,0.691
30022.000,35240757.000,0.167,0.364,0.917,0.636,0.400,0.261,1.286,0.739
30023.000,35240758.000,0.206,0.222,0.794,0.778,0.500,0.316,1.619,0.679
30024.000,35240759.000,0.000,0.200,1.071,0.733,0.538,0.218,1.375,0.782
30025.000,35240760.000,NA,NA,NA,NA,NA,NA,NA,NA
30026.000,35240761.000,0.000,0.667,0.900,0.444,0.556,0.305,4.000,0.712
30027.000,35240762.000,0.667,0.000,0.333,1.000,0.364,0.277,1050000.000,0.723
30028.000,35240765.000,0.353,0.182,0.647,0.727,0.850,0.247,0.167,0.753
30029.000,35240766.000,0.386,0.111,0.614,0.926,0.557,0.414,1.842,0.592
30030.000,35240767.000,0.385,0.087,0.590,0.957,0.780,0.307,0.917,0.693
30031.000,35240768.000,0.231,0.200,0.769,0.800,0.520,0.305,1.200,0.695
30032.000,35240769.000,0.500,0.000,0.500,1.000,0.533,0.167,2.667,0.844
30033.000,35240770.000,0.535,0.000,0.442,0.947,0.683,0.310,0.741,0.690
30034.000,35240771.000,0.588,0.200,0.392,0.800,0.836,0.415,0.625,0.585
30035.000,35240772.000,0.568,0.000,0.432,1.000,0.771,0.251,0.846,0.749
30036.000,35240773.000,0.355,0.000,0.645,1.000,0.886,0.187,0.211,0.818
30037.000,35240774.000,0.367,0.156,0.653,0.844,0.803,0.384,0.611,0.610
30038.000,35240776.000,0.345,0.054,0.655,0.946,0.624,0.560,0.932,0.437
30039.000,35240777.000,0.278,0.000,0.722,1.038,0.857,0.290,0.278,0.710
30040.000,35240779.000,0.553,0.182,0.468,0.818,0.783,0.333,0.786,0.672
30041.000,35240780.000,0.250,0.176,0.708,0.824,0.500,0.234,1.250,0.761
30042.000,35240782.000,0.360,0.000,0.640,1.000,0.490,0.357,2.000,0.643
30043.000,35240783.000,0.333,0.000,0.778,0.857,0.450,0.299,1.833,0.716
30044.000,35240785.000,0.190,0.000,0.857,0.944,0.600,0.206,1.167,0.788
30045.000,35240786.000,0.373,0.107,0.636,0.893,0.570,0.888,0.840,0.112
30046.000,35240787.000,0.382,0.000,0.647,1.000,0.667,0.630,0.515,0.370
30047.000,35240788.000,0.300,0.150,0.667,0.850,0.508,0.465,1.429,0.535
30048.000,35240789.000,0.370,0.067,0.616,0.956,0.624,0.594,0.865,0.401
30049.000,35240790.000,0.321,0.211,0.679,0.842,0.683,0.373,1.000,0.618
30050.000,35240791.000,0.154,0.000,0.846,1.000,0.295,0.317,3.875,0.691
30051.000,35240792.000,0.091,0.200,0.909,0.850,0.564,0.351,5.667,0.649
30052.000,35240793.000,0.000,0.000,1.071,1.000,0.359,0.267,1.263,0.740
30053.000,35240795.000,0.065,0.172,0.935,0.845,0.585,0.355,2.263,0.645
30054.000,35240796.000,0.000,0.000,0.970,1.000,0.635,0.391,5.000,0.609
30055.000,35240797.000,0.118,0.000,0.941,1.000,0.586,0.148,0.750,0.852
30056.000,35240798.000,0.000,0.000,0.937,1.067,0.552,0.240,2.167,0.769
30057.000,35240799.000,0.000,0.000,1.000,0.955,0.687,0.232,1.250,0.775
30058.000,35240800.000,0.000,0.273,1.000,0.636,0.733,0.115,2.500,0.877
30059.000,35240801.000,0.000,0.133,1.071,0.867,0.560,0.234,0.588,0.757
30060.000,35240802.000,0.000,0.000,0.947,1.000,0.731,0.325,1.750,0.687
30061.000,35240803.000,0.034,0.052,0.975,0.940,0.610,0.657,0.655,0.343
30062.000,35240804.000,0.100,0.167,0.900,0.833,0.625,0.241,2.000,0.759
30063.000,35240805.000,0.087,0.095,0.913,0.952,0.535,0.551,2.100,0.449
30064.000,35240806.000,0.000,0.000,1.000,0.933,0.417,0.371,2.750,0.619
30065.000,35240807.000,0.070,0.100,0.930,0.925,0.683,0.375,0.645,0.619
30066.000,35240808.000,0.077,0.000,0.923,1.000,0.534,0.437,2.000,0.563
30067.000,35240809.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
30068.000,35240810.000,0.000,0.087,1.000,0.957,0.548,0.429,9.000,0.571
30069.000,35240811.000,0.250,0.095,0.750,0.952,0.467,0.261,1.143,0.739
30070.000,35240812.000,0.000,0.000,0.937,1.000,0.500,0.264,2.000,0.727
30071.000,35240813.000,0.222,0.000,0.889,0.875,0.429,0.193,1.714,0.807
30072.000,35240814.000,0.138,0.083,0.828,0.917,0.744,0.283,2.000,0.717
30073.000,35240815.000,0.167,0.000,0.750,1.111,0.545,0.319,2.000,0.696
30074.000,35240816.000,0.609,0.222,0.391,0.889,0.590,0.379,0.682,0.621
30075.000,35240817.000,0.000,0.000,0.905,1.000,0.618,0.309,1.167,0.682
30076.000,35240818.000,0.258,0.000,0.742,1.043,0.795,0.315,2.333,0.694
30077.000,35240819.000,0.444,0.120,0.556,0.920,0.804,0.324,1.091,0.676
30078.000,35240820.000,0.286,0.150,0.714,0.900,0.609,0.414,1.545,0.586
30079.000,35240821.000,0.194,0.000,0.806,0.980,0.667,0.463,1.148,0.537
30080.000,35240822.000,0.067,0.000,1.000,1.000,0.769,0.320,1.000,0.680
30081.000,35240823.000,0.190,0.000,0.810,1.000,0.712,0.472,1.062,0.536
30082.000,35240824.000,0.516,0.000,0.484,0.933,0.705,0.272,0.933,0.722
30083.000,35240825.000,0.444,0.000,0.556,1.000,0.462,0.289,1.500,0.704
30084.000,35240826.000,0.273,0.000,0.727,1.000,0.698,0.508,0.760,0.492
30085.000,35240827.000,0.238,0.000,0.810,1.000,0.429,0.476,7.000,0.515
30086.000,35240828.000,0.409,0.000,0.591,1.000,0.815,0.260,0.261,0.740
30087.000,35240829.000,0.212,0.000,0.788,1.000,0.675,0.722,1.063,0.274
30088.000,35240830.000,0.138,0.200,0.862,0.800,0.763,0.355,1.500,0.654
30089.000,35240831.000,0.242,0.080,0.758,0.920,0.673,0.500,0.941,0.500
30090.000,35240832.000,0.085,0.000,0.932,1.000,0.843,0.483,0.255,0.517
30091.000,35240834.000,0.000,0.045,1.000,0.955,0.629,0.530,1.800,0.462
30092.000,35240835.000,0.000,0.250,1.000,0.750,0.444,0.310,2.143,0.690
30093.000,35240836.000,0.154,0.000,0.769,1.000,0.406,0.262,2.500,0.738
30094.000,35240837.000,0.000,0.000,0.937,1.000,0.348,0.380,2.500,0.612
30095.000,35240838.000,0.115,0.087,0.885,0.957,0.542,0.364,1.312,0.636
30096.000,35240839.000,0.000,0.000,1.000,1.000,0.576,0.273,1.667,0.736
30097.000,35240840.000,0.000,0.105,1.000,0.895,0.633,0.256,0.625,0.744
30098.000,35240841.000,0.000,0.000,100000.000,1.000,0.000,0.119,1.250,0.881
30099.000,35240842.000,0.000,0.250,0.923,0.833,0.481,0.211,2.143,0.781
30100.000,35240843.000,0.000,0.000,1.000,0.909,0.478,0.383,1.500,0.617
30101.000,35240844.000,0.000,0.000,1.000,1.000,0.444,0.255,1.500,0.745
30102.000,35240845.000,0.000,0.000,0.900,1.111,0.667,0.160,0.714,0.840
30103.000,35240846.000,0.000,0.062,1.000,0.906,0.485,0.296,2.500,0.704
30104.000,35240848.000,0.503,0.104,0.503,0.883,0.659,0.451,1.143,0.549
30105.000,35240849.000,0.650,0.091,0.367,0.955,0.741,0.474,0.870,0.526
30106.000,35240850.000,0.593,0.200,0.370,0.900,0.491,0.276,1.400,0.724
30107.000,35240851.000,0.214,0.333,0.857,0.667,0.700,0.171,0.857,0.821
30108.000,35240852.000,0.000,0.231,1.000,0.846,0.619,0.163,2.667,0.829
30109.000,35240853.000,0.375,0.200,0.625,0.733,0.615,0.260,3.750,0.747
30110.000,35240854.000,0.222,0.000,0.667,1.167,0.474,0.150,1.375,0.850
30111.000,35240855.000,0.514,0.000,0.457,1.000,0.636,0.304,1.727,0.696
30112.000,35240856.000,0.362,0.125,0.638,0.875,0.529,0.507,1.465,0.495
30113.000,35240857.000,0.520,0.000,0.520,1.000,0.568,0.440,1.125,0.560
30114.000,35240858.000,0.600,0.000,0.400,1.000,0.769,0.171,2.000,0.816
30115.000,35240859.000,0.604,0.000,0.417,1.000,0.923,0.391,0.500,0.617
30116.000,35240861.000,0.508,0.103,0.492,0.897,0.720,0.376,1.211,0.619
30117.000,35240862.000,0.000,0.000,1.000,1.000,0.640,0.305,1.125,0.683
30118.000,35240863.000,0.167,0.000,0.833,1.100,0.462,0.215,2.800,0.777
30119.000,35240864.000,0.000,0.000,0.941,0.937,0.567,0.234,2.333,0.766
30120.000,35240865.000,0.159,0.044,0.841,0.956,0.650,0.816,1.460,0.182
30121.000,35240866.000,0.000,0.000,0.971,1.000,0.673,0.416,1.308,0.576
30122.000,35240867.000,0.217,0.000,0.783,1.000,0.821,0.283,0.375,0.717
30123.000,35240868.000,0.169,0.028,0.831,0.972,0.670,0.782,1.231,0.222
30124.000,35240869.000,0.173,0.000,0.827,1.000,0.693,0.379,0.846,0.621
30125.000,35240870.000,0.391,0.000,0.609,0.981,0.674,0.566,1.200,0.430
30126.000,35240871.000,0.318,0.051,0.694,0.949,0.726,0.622,1.409,0.378
30127.000,35240872.000,0.222,0.182,0.815,0.818,0.562,0.356,1.250,0.659
30128.000,35240873.000,0.196,0.054,0.804,0.973,0.622,0.507,1.812,0.486
30129.000,35240874.000,0.125,0.185,0.844,0.815,0.681,0.264,0.882,0.730
30130.000,35240875.000,0.138,0.077,0.897,1.000,0.547,0.312,2.875,0.688
30131.000,35240876.000,0.224,0.053,0.776,0.974,0.690,0.433,0.840,0.567
30132.000,35240877.000,0.128,0.000,0.894,0.976,0.758,0.385,0.714,0.615
30133.000,35240878.000,0.143,0.000,0.929,1.000,0.500,0.224,1.750,0.776
30134.000,35240879.000,0.000,0.000,0.926,1.000,0.818,0.219,0.538,0.781
30135.000,35240880.000,0.224,0.000,0.776,1.000,0.875,0.394,0.437,0.599
30136.000,35240881.000,0.286,0.000,0.762,1.000,0.437,0.343,2.700,0.650
30137.000,35240882.000,0.265,0.000,0.765,1.000,0.472,0.468,3.083,0.539
30138.000,35240883.000,0.236,0.000,0.764,1.000,0.690,0.558,1.414,0.442
30139.000,35240884.000,0.176,0.000,0.824,1.000,0.797,0.410,0.522,0.590
30140.000,35240885.000,0.320,0.000,0.640,1.000,0.610,0.339,0.895,0.653
30141.000,35240886.000,0.118,0.133,0.882,0.867,0.548,0.231,2.333,0.769
30142.000,35240887.000,0.333,0.222,0.750,0.778,0.324,0.228,5.000,0.765
30143.000,35240888.000,0.371,0.000,0.629,0.955,0.583,0.377,2.000,0.623
30144.000,35240889.000,0.244,0.000,0.756,1.000,0.738,0.442,0.895,0.551
30145.000,35240890.000,0.153,0.059,0.864,0.922,0.532,0.689,2.429,0.304
30146.000,35240891.000,0.333,0.000,0.667,1.038,0.830,0.356,0.600,0.644
30147.000,35240892.000,0.093,0.000,0.907,1.000,0.768,0.431,1.857,0.577
30148.000,35240893.000,0.114,0.132,0.864,0.868,0.800,0.423,1.000,0.577
30149.000,35240894.000,0.200,0.081,0.822,0.919,0.692,0.436,0.909,0.570
30150.000,35240895.000,0.214,0.000,0.821,0.913,0.683,0.299,1.000,0.701
30151.000,35240896.000,0.286,0.100,0.714,0.900,0.808,0.388,0.500,0.612
30152.000,35240897.000,0.103,0.115,0.897,0.923,0.630,0.317,2.000,0.683
30153.000,35240898.000,0.080,0.062,0.909,0.937,0.620,0.267,1.170,0.733
30154.000,35240903.000,NA,NA,NA,NA,NA,NA,NA,NA
30155.000,35240904.000,0.113,0.032,0.873,0.952,0.602,0.437,1.306,0.567
30156.000,35240907.000,0.185,0.185,0.831,0.796,0.699,0.802,0.933,0.198
30157.000,35240908.000,0.141,0.051,0.848,0.962,0.551,0.655,1.389,0.349
30158.000,35240909.000,0.062,0.000,0.937,1.000,0.561,0.413,1.000,0.587
30159.000,35240910.000,0.181,0.000,0.833,1.000,0.600,0.513,3.615,0.479
30160.000,35240911.000,0.194,0.107,0.806,0.907,0.567,0.710,1.400,0.290
30161.000,35240912.000,0.250,0.127,0.764,0.855,0.526,0.678,2.207,0.322
30162.000,35240913.000,0.370,0.000,0.630,0.941,0.643,0.424,0.762,0.576
30163.000,35240914.000,0.242,0.480,0.758,0.480,0.623,0.473,1.053,0.536
30164.000,35240915.000,0.353,0.091,0.647,0.909,0.654,0.304,1.417,0.702
30165.000,35240916.000,0.206,0.148,0.794,0.815,0.596,0.553,1.437,0.447
30166.000,35240917.000,0.448,0.081,0.552,0.946,0.670,0.424,1.545,0.572
30167.000,35240918.000,0.333,0.000,0.500,0.667,0.333,0.191,1.000,0.809
30168.000,35240920.000,0.255,0.071,0.745,0.943,0.556,0.684,1.949,0.312
30169.000,35240922.000,0.222,0.250,0.889,0.875,0.346,0.205,4.000,0.787
30170.000,35240923.000,0.239,0.065,0.756,0.935,0.672,0.645,1.724,0.355
30171.000,35240924.000,0.151,0.000,0.857,0.990,0.650,0.585,1.306,0.415
30172.000,35240925.000,0.182,0.065,0.805,0.952,0.675,0.533,1.194,0.467
30173.000,35240926.000,0.161,0.079,0.833,0.929,0.606,0.655,2.422,0.345
30174.000,35240927.000,0.175,0.100,0.825,0.900,0.713,0.546,0.975,0.458
30175.000,35240928.000,0.156,0.111,0.844,0.877,0.793,0.492,0.893,0.508
30176.000,35240929.000,0.141,0.040,0.859,0.960,0.663,0.888,1.156,0.111
30177.000,35240931.000,0.000,0.000,1.000,1.000,0.800,0.263,0.286,0.711
30178.000,35240932.000,0.176,0.143,0.824,0.857,0.689,0.465,1.100,0.541
30179.000,35240933.000,0.000,0.000,0.867,1.000,0.484,0.277,5.667,0.723
30180.000,35240934.000,0.260,0.034,0.753,0.948,0.770,0.476,0.647,0.524
30181.000,35240935.000,0.224,0.091,0.776,0.894,0.773,0.456,0.471,0.544
30182.000,35240936.000,0.237,0.039,0.758,0.961,0.709,0.611,0.697,0.387
30183.000,35240937.000,0.327,0.000,0.692,1.000,0.693,0.352,1.692,0.653
30184.000,35240938.000,0.118,0.000,0.941,1.062,0.472,0.356,6.333,0.644
30185.000,35240939.000,0.267,0.000,0.733,1.000,0.849,0.376,0.467,0.631
30186.000,35240940.000,0.147,0.070,0.843,0.930,0.850,0.656,0.543,0.339
30187.000,35240941.000,0.099,0.156,0.901,0.844,0.866,0.603,0.345,0.404
30188.000,35240942.000,0.189,0.119,0.792,0.905,0.646,0.491,2.000,0.509
30189.000,35240943.000,0.194,0.084,0.806,0.904,0.780,0.597,0.784,0.403
30190.000,35240944.000,0.168,0.032,0.832,0.960,0.716,0.689,1.439,0.311
30191.000,35240945.000,0.125,0.000,0.864,1.000,0.633,0.511,0.823,0.493
30192.000,35240946.000,0.316,0.269,0.684,0.769,0.760,0.382,0.600,0.626
30193.000,35240947.000,0.161,0.051,0.839,0.949,0.665,0.894,1.148,0.106
30194.000,35240948.000,0.000,0.000,1.000,0.900,0.526,0.306,0.667,0.694
30195.000,35240949.000,0.077,0.125,0.923,0.875,0.839,0.413,1.200,0.573
30196.000,3525.000,0.230,0.088,0.770,0.912,0.367,0.359,1.825,0.641
30197.000,35250030.000,0.000,0.000,1.000,1.000,0.417,0.164,1.750,0.836
30198.000,35250031.000,0.000,0.000,1.000,0.917,0.750,0.195,1.000,0.805
30199.000,35250032.000,0.000,0.250,1.000,0.875,0.400,0.163,2.600,0.846
30200.000,35250033.000,0.000,0.000,1.000,1.000,0.522,0.215,3.667,0.785
30201.000,35250034.000,0.000,0.231,0.929,0.846,0.378,0.289,1.278,0.711
30202.000,35250035.000,0.182,0.222,0.818,0.778,0.324,0.415,2.182,0.585
30203.000,35250036.000,0.000,0.267,1.000,0.867,0.469,0.294,1.214,0.697
30204.000,35250037.000,0.176,0.143,0.824,0.929,0.472,0.353,1.118,0.647
30205.000,35250038.000,0.167,0.000,0.833,1.100,0.231,0.400,2.278,0.600
30206.000,35250039.000,0.000,0.000,1.000,1.000,0.360,0.301,1.250,0.699
30207.000,35250040.000,0.400,0.000,0.600,1.000,0.217,0.274,1.385,0.726
30208.000,35250041.000,0.000,0.118,1.000,0.941,0.500,0.395,0.889,0.605
30209.000,35250042.000,0.000,0.000,100000.000,1.000,0.000,0.317,3.667,0.683
30210.000,35250043.000,0.231,0.000,0.769,1.000,0.542,0.200,1.091,0.800
30211.000,35250044.000,0.000,0.000,1.000,1.500,0.250,0.105,1.200,0.882
30212.000,35250045.000,0.423,0.125,0.615,0.875,0.542,0.615,0.875,0.385
30213.000,35250046.000,0.000,0.000,0.857,0.833,0.304,0.228,1.455,0.772
30214.000,35250047.000,0.000,0.182,1.000,0.909,0.524,0.181,1.800,0.819
30215.000,35250048.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.980
30216.000,35250049.000,0.286,0.000,0.714,1.200,0.636,0.162,0.800,0.838
30217.000,35250050.000,0.000,0.000,0.929,0.923,0.583,0.300,550000.000,0.700
30218.000,35250051.000,0.000,0.111,1.000,0.833,0.327,0.212,2.643,0.788
30219.000,35250052.000,0.000,0.000,0.889,1.125,0.529,0.279,4.000,0.738
30220.000,35250053.000,0.167,0.000,0.917,1.091,0.480,0.200,2.800,0.792
30221.000,35250054.000,0.000,0.000,0.000,100000.000,0.167,0.171,1.667,0.829
30222.000,35250055.000,0.187,0.154,0.812,0.846,0.485,0.258,2.125,0.750
30223.000,35250056.000,0.000,0.000,0.000,0.000,0.000,0.289,3.250,0.733
30224.000,35250059.000,0.146,0.118,0.829,0.912,0.532,0.347,1.029,0.649
30225.000,35250060.000,0.200,0.714,0.700,0.286,0.278,0.288,1.500,0.704
30226.000,35250061.000,0.000,0.000,1.000,1.333,0.187,0.208,600000.000,0.792
30227.000,35250062.000,0.000,0.000,1.077,1.000,0.722,0.170,0.500,0.830
30228.000,35250064.000,0.217,0.111,0.783,1.000,0.605,0.248,1.667,0.745
30229.000,35250065.000,0.000,0.000,1.000,1.000,0.714,0.204,1.200,0.786
30230.000,35250066.000,0.000,0.000,1.000,1.000,0.429,0.192,2.667,0.795
30231.000,35250067.000,0.333,0.222,0.600,0.889,0.500,0.256,1.231,0.735
30232.000,35250070.000,0.600,0.000,0.400,1.000,0.208,0.270,1.636,0.730
30233.000,35250073.000,0.000,0.000,1.000,1.000,0.129,0.326,1400000.000,0.674
30234.000,35250074.000,0.000,0.000,0.667,1.000,0.250,0.235,5.000,0.784
30235.000,35250075.000,0.000,0.000,1.000,1.000,0.125,0.195,1.444,0.829
30236.000,35250077.000,0.437,0.300,0.625,0.600,0.340,0.409,5.333,0.591
30237.000,35250078.000,0.400,0.000,0.800,1.000,0.217,0.303,4.250,0.711
30238.000,35250079.000,0.000,0.000,100000.000,1.000,0.000,0.208,3.333,0.792
30239.000,35250080.000,0.182,0.444,0.818,0.556,0.282,0.289,4.000,0.711
30240.000,35250081.000,0.714,0.000,0.214,1.333,0.143,0.441,7.083,0.559
30241.000,35250082.000,0.000,0.000,0.667,1.000,0.300,0.222,400000.000,0.800
30242.000,35250083.000,0.565,0.000,0.391,1.111,0.377,0.439,2.786,0.568
30243.000,35250084.000,0.750,0.000,0.000,0.000,0.364,0.183,0.889,0.800
30244.000,35250085.000,0.000,0.286,1.000,0.571,0.412,0.283,1.667,0.700
30245.000,35250086.000,0.000,0.000,1.000,1.000,0.333,0.333,1.385,0.667
30246.000,35250087.000,0.556,0.000,0.444,1.000,0.360,0.287,1.364,0.713
30247.000,35250088.000,0.429,0.000,0.571,0.750,0.333,0.284,6.500,0.716
30248.000,35250089.000,0.700,0.000,0.300,1.000,0.294,0.337,1.333,0.663
30249.000,35250093.000,0.000,0.200,0.909,0.800,0.262,0.412,3.200,0.578
30250.000,35250094.000,0.000,0.000,1.000,1.000,0.097,0.431,2.545,0.569
30251.000,35250095.000,0.385,0.000,0.615,1.000,0.500,0.280,0.867,0.720
30252.000,35250096.000,0.000,0.000,0.875,1.000,0.250,0.302,4.800,0.698
30253.000,35250097.000,0.000,0.000,1.000,1.000,0.333,0.161,1.000,0.857
30254.000,35250098.000,0.000,0.000,1.000,1.333,0.600,0.111,0.000,0.933
30255.000,35250099.000,0.250,0.222,0.750,0.778,0.273,0.250,3.556,0.750
30256.000,35250100.000,0.000,0.000,1.167,0.857,0.200,0.333,1.333,0.667
