"","X","geoUID","r_external_5yr","r_inter_5yr","r_internal_5yr","r_intra_5yr","r_migrants_5yr","r_movers_5yr","r_nonMigrants_5yr","r_nonMovers_5yr"
"28591",28591,35211770,0.25,0,0.75,1,0.414,0.319,8.5,0.67
"28592",28592,35211772,0.833,0,0.25,1,0.222,0.425,2.412,0.583
"28593",28593,35211774,0.154,0,0.846,1,0.371,0.259,2.444,0.733
"28594",28594,35211775,0.172,0.115,0.897,0.846,0.617,0.359,2.667,0.649
"28595",28595,35211776,0.267,0.167,0.8,0.833,0.469,0.246,1.2,0.762
"28596",28596,35211777,0.308,0.333,0.692,0.667,0.464,0.344,0.969,0.65
"28597",28597,35211778,0.462,0,0.538,1,0.351,0.389,2.043,0.616
"28598",28598,35211779,0.231,0,0.769,0.9,0.302,0.312,1.875,0.696
"28599",28599,35211780,0.406,0.105,0.594,0.947,0.278,0.52,1.93,0.48
"28600",28600,35211781,0.312,0,0.687,1.045,0.432,0.487,2.158,0.52
"28601",28601,35211782,0.2,0.167,0.8,0.917,0.517,0.199,1.444,0.801
"28602",28602,35211783,0.286,0,0.714,1,0.241,0.264,2.625,0.727
"28603",28603,35211784,0,0.25,1,0.875,0.308,0.217,2.571,0.783
"28604",28604,35211785,0,0,0.909,1,0.524,0.196,1.25,0.804
"28605",28605,35211788,0.55,0,0.45,1.111,0.299,0.475,2.474,0.525
"28606",28606,35211790,0.444,0.25,0.444,1,0.474,0.239,1.75,0.755
"28607",28607,35211791,0.476,0,0.524,1,0.442,0.438,3.533,0.558
"28608",28608,35211792,0.364,0,0.545,1.167,0.314,0.248,2.667,0.752
"28609",28609,35211793,0.5,0.111,0.5,0.944,0.486,0.423,1.609,0.583
"28610",28610,35211794,0.246,0,0.772,0.977,0.679,0.454,1.35,0.546
"28611",28611,35211795,0.227,0,0.818,0.944,0.355,0.47,1.696,0.538
"28612",28612,35211796,0.421,0,0.579,0.909,0.413,0.338,1.04,0.654
"28613",28613,35211797,0.325,0,0.65,1,0.435,0.33,1.625,0.67
"28614",28614,35211801,0.529,0,0.412,1,0.548,0.36,0.933,0.64
"28615",28615,35211802,0.368,0.167,0.632,0.833,0.487,0.322,1.429,0.669
"28616",28616,35211803,0.773,0,0.182,1.25,0.564,0.433,1.062,0.567
"28617",28617,35211804,0,0,0.889,1.125,0.321,0.359,4.75,0.654
"28618",28618,35211805,0.4,0,0.6,1,0.143,0.361,1.476,0.639
"28619",28619,35211806,0.35,0,0.65,0.923,0.8,0.362,1.2,0.623
"28620",28620,35211807,0.53,0,0.485,0.969,0.342,0.426,3.6,0.574
"28621",28621,35211808,0.353,0,0.706,1,0.415,0.261,1.917,0.739
"28622",28622,35211809,0.619,0,0.286,1.167,0.447,0.364,1.588,0.643
"28624",28624,35211814,0.85,0.667,0.15,0.667,0.541,0.333,2.667,0.676
"28625",28625,35211815,0.682,0,0.364,1,0.629,0.398,1.444,0.591
"28626",28626,35211816,0.853,0,0.176,1,0.415,0.461,1.205,0.545
"28627",28627,35211817,0.412,0,0.588,0.9,0.515,0.287,0.842,0.713
"28628",28628,35211818,0.889,0,0.167,1,0.439,0.38,2,0.63
"28629",28629,35211819,0.724,0,0.276,1,0.58,0.336,1.05,0.664
"28630",28630,35211820,0.75,0,0.3,1,0.5,0.32,0.8,0.68
"28631",28631,35211821,0.625,0.667,0.375,0.333,0.372,0.299,1.857,0.708
"28632",28632,35211822,0.541,0.273,0.446,0.758,0.409,0.519,2.356,0.484
"28633",28633,35211823,0.58,0.103,0.42,0.931,0.59,0.367,2.4,0.633
"28634",28634,35211824,1,0,0,0,0.444,0.241,7.5,0.759
"28635",28635,35211825,0.567,0.462,0.433,0.538,0.5,0.4,1.6,0.593
"28636",28636,35211826,0.375,0.132,0.633,0.855,0.513,0.482,1.228,0.52
"28637",28637,35211827,0.683,0.291,0.317,0.696,0.684,0.65,0.661,0.35
"28638",28638,35211828,0.758,0.267,0.242,0.733,0.508,0.622,1.968,0.372
"28639",28639,35211829,0.453,0.17,0.553,0.818,0.55,0.545,1.488,0.455
"28640",28640,35211830,0.609,0.059,0.391,1,0.486,0.504,1.508,0.499
"28641",28641,35211831,0,0,0.5,1,0.1,0.248,5.143,0.764
"28642",28642,35211832,0.514,0.125,0.457,0.875,0.449,0.379,1.536,0.621
"28643",28643,35211833,0.783,0,0.261,0.833,0.274,0.336,1.525,0.664
"28644",28644,35211834,0.625,0,0.5,1,0.32,0.266,5.333,0.734
"28645",28645,35211835,0.8,0,0.2,0,0.417,0.179,2.6,0.813
"28646",28646,35211836,0.402,0,0.587,0.981,0.541,0.489,1.279,0.514
"28647",28647,35211837,0.586,0.154,0.448,0.923,0.382,0.254,1.484,0.746
"28648",28648,35211838,0.375,0,0.625,1,0.195,0.266,2.125,0.734
"28649",28649,35211839,0.25,0.2,0.833,0.9,0.279,0.247,7.5,0.759
"28650",28650,35211840,0.409,0.192,0.591,0.846,0.473,0.371,1.846,0.629
"28651",28651,35211841,1,0,0,0,0.2,0.22,2.286,0.78
"28652",28652,35211842,0,0,1.167,1,0.333,0.18,1.429,0.82
"28653",28653,35211843,0.485,0,0.515,1,0.418,0.294,1.278,0.706
"28654",28654,35211844,0.5,0,0.4,1.25,0.256,0.351,3.5,0.649
"28655",28655,35211845,0.25,0.667,0.75,0.333,0.571,0.167,1.667,0.845
"28656",28656,35211847,0.458,0.308,0.542,0.769,0.421,0.377,2.357,0.623
"28657",28657,35211848,0.389,0,0.556,1.1,0.333,0.258,2.333,0.742
"28658",28658,35211849,0.4,0,0.4,1,0.172,0.242,1.846,0.758
"28659",28659,35211850,0,0,1.167,0.857,0.182,0.196,4.333,0.81
"28660",28660,35211851,0.524,0,0.476,1.1,0.525,0.345,2.111,0.655
"28661",28661,35211852,0.571,0,0.5,0.857,0.269,0.319,2.176,0.687
"28662",28662,35211853,0.674,0.214,0.304,0.857,0.639,0.375,0.963,0.625
"28663",28663,35211854,0.643,0.222,0.321,1,0.519,0.312,1.588,0.688
"28664",28664,35211855,0.714,0,0.286,1,0.53,0.382,1.722,0.624
"28665",28665,35211856,0.818,0.667,0.182,0.333,0.493,0.351,1,0.644
"28666",28666,35211857,0.778,0.154,0.241,0.846,0.524,0.46,1.171,0.545
"28667",28667,35211859,0.683,0.154,0.317,0.846,0.683,0.438,0.679,0.555
"28668",28668,35211860,0.655,0,0.328,0.947,0.479,0.488,1.658,0.512
"28669",28669,35211861,0.652,0.429,0.304,0.714,0.338,0.291,5.75,0.709
"28670",28670,35211863,0.562,0,0.437,1,0.364,0.28,2.154,0.726
"28671",28671,35211864,0.63,0.4,0.37,0.7,0.443,0.365,2.429,0.635
"28672",28672,35211868,0.744,0.222,0.231,0.778,0.506,0.374,1.357,0.626
"28673",28673,35211870,0.351,0.078,0.662,0.941,0.399,0.529,1.494,0.474
"28674",28674,35211871,0.304,0.133,0.652,0.933,0.5,0.365,1.412,0.635
"28675",28675,35211872,0.172,0.031,0.828,0.966,0.514,0.524,2.71,0.475
"28676",28676,35211873,0.611,0,0.389,1,0.45,0.336,1.833,0.664
"28677",28677,35211874,0.5,0,0.5,1,0.481,0.383,1.474,0.61
"28678",28678,35211875,0.857,0,0,1e+05,0.636,0.393,0.8,0.625
"28679",28679,35211876,0.897,0,0.103,1,0.569,0.573,0.724,0.427
"28680",28680,35211877,0.8,0.4,0.167,0.8,0.638,0.485,0.9,0.515
"28681",28681,35211878,0.673,0.365,0.327,0.615,0.554,0.456,1.422,0.546
"28682",28682,35211879,0.5,0,0.5,1,0.458,0.34,1.444,0.667
"28683",28683,35211880,0.667,0,0.333,1.111,0.562,0.381,2.1,0.619
"28684",28684,35211881,0.941,0,0,0,0.586,0.299,1,0.701
